"id","nombre","año","mes","día","hour","minute","sube","baja","queda","descrp"
"19","luz del norte","2016","02","06","11","54","","3.0","95.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","13","51","","","20.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","06","13","51","","1.0","30.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","06","13","51","","3.0","92.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","14","10","","1.0","19.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"9","san andres","2016","02","06","14","10","","1.0","29.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","06","14","10","","3.0","89.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","17","36","1.0","","20.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"9","san andres","2016","02","06","17","36","2.0","","31.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","06","17","36","5.0","","94.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","18","32","1.0","","21.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"9","san andres","2016","02","06","18","32","2.0","","33.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","06","18","32","5.0","","99.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","18","48","1.0","","22.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
