"año","mes","día","total_baja","descrp"
2016,2,14,28,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  309 MVA a 30 °C con Sol  flujo N>S. "
2016,2,15,34,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  215 MVA a 26 °C con Sol  flujo N>S. "
2016,2,15,34,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,15,34,"Redistribución de Potencia Aumento de generación eólica del PE Taltal -12 MW"
2016,2,15,34,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  161 MVA a 33 °C con Sol  flujo N>S. "
2016,2,15,34,"Redistribución de Potencia Aumento recursos Eólico PE Taltal -18 MW"
2016,2,15,34,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  179 MVA a 31 °C con Sol  flujo N>S. "
2016,2,16,57,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,16,57,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,16,57,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,16,57,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  170 MVA a 32 °C con Sol  flujo N>S. "
2016,2,16,57,"Redistribución de Potencia  -30 MW"
2016,2,16,57,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  170 MVA a 32 °C con Sol  flujo N>S. "
2016,2,16,57,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,16,57,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,17,68,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,17,68,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
